2024-10-19T10:12:44.978Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-20T03:28:20.960Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T03:30:26.268Z - User: nami, Action: 로그인, 성공, 
2024-10-20T03:30:33.651Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T03:32:38.403Z - User: nami, Action: 로그인, 성공, 
2024-10-20T03:32:46.252Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T03:33:42.428Z - User: nami, Action: 로그인, 성공, 
2024-10-20T03:33:51.946Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T03:37:47.128Z - User: nami, Action: 로그인, 성공, 
2024-10-20T03:37:57.333Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T03:38:51.207Z - User: nami, Action: 로그인, 성공, 
2024-10-20T03:38:58.481Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T03:39:18.497Z - User: nami, Action: 로그인, 성공, 
2024-10-20T03:39:25.582Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T03:47:49.064Z - User: nami, Action: 로그인, 성공, 
2024-10-20T03:47:55.783Z - User: nami, Action: OTP 인증, 실패, 만료 또는 잘못된 OTP
2024-10-20T03:48:00.770Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T03:48:49.593Z - User: nami, Action: 로그인, 성공, 
2024-10-20T03:48:55.328Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T03:50:15.507Z - User: nami, Action: 로그인, 성공, 
2024-10-20T03:50:26.184Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T03:52:38.810Z - User: nami, Action: 로그인, 성공, 
2024-10-20T03:52:47.701Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T03:54:27.739Z - User: nami, Action: 로그인, 성공, 
2024-10-20T03:54:35.624Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T03:56:55.817Z - User: nami, Action: 로그인, 실패, 잘못된 ID 또는 비밀번호
2024-10-20T03:57:00.032Z - User: nami, Action: 로그인, 성공, 
2024-10-20T03:57:10.614Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T03:58:15.902Z - User: nami, Action: 로그인, 성공, 
2024-10-20T03:58:22.513Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T03:59:07.480Z - User: nami, Action: 로그인, 성공, 
2024-10-20T03:59:14.519Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T04:03:46.389Z - User: nami, Action: 로그인, 성공, 
2024-10-20T04:03:54.910Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T04:05:17.089Z - User: nami, Action: 로그인, 성공, 
2024-10-20T04:05:24.795Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T04:07:59.943Z - User: nami, Action: 로그인, 성공, 
2024-10-20T04:08:08.160Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T04:08:18.651Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T04:11:05.781Z - User: nami, Action: 로그인, 성공, 
2024-10-20T04:12:38.814Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-20T04:12:44.601Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T04:15:12.426Z - User: nami, Action: 로그인, 성공, 
2024-10-20T04:15:23.116Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T04:17:05.702Z - User: nami, Action: 로그인, 성공, 
2024-10-20T04:17:16.173Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T04:18:21.154Z - User: nami, Action: 로그인, 성공, 
2024-10-20T04:18:27.598Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T04:23:12.543Z - User: nami, Action: 로그인, 성공, 
2024-10-20T04:23:19.640Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T04:23:27.790Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T04:23:27.794Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T04:24:22.366Z - User: nami, Action: 로그인, 성공, 
2024-10-20T04:24:29.463Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T04:25:10.138Z - User: nami, Action: 로그인, 성공, 
2024-10-20T04:25:15.946Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T04:26:04.146Z - User: nami, Action: 로그인, 성공, 
2024-10-20T04:26:12.460Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T04:26:42.334Z - User: nami, Action: 로그인, 성공, 
2024-10-20T04:26:49.672Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T04:27:26.008Z - User: nami, Action: 로그인, 성공, 
2024-10-20T04:27:32.832Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T06:26:06.152Z - User: nami, Action: 로그인, 성공, 
2024-10-20T06:26:15.352Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T06:28:07.146Z - User: nami, Action: 로그인, 성공, 
2024-10-20T06:28:17.355Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T06:33:52.951Z - User: nami, Action: 로그인, 성공, 
2024-10-20T06:34:06.508Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T07:05:39.903Z - User: nami, Action: 로그인, 성공, 
2024-10-20T07:05:57.877Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-20T07:06:03.077Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T07:09:38.205Z - User: nami, Action: 로그인, 성공, 
2024-10-20T07:09:47.188Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T07:26:10.907Z - User: nami, Action: 로그인, 성공, 
2024-10-20T07:26:19.386Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T07:30:52.542Z - User: nami, Action: 로그인, 성공, 
2024-10-20T07:31:03.707Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T08:26:44.754Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-20T08:29:39.968Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-20T08:30:33.268Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-20T08:30:42.401Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-20T08:36:45.033Z - User: nami, Action: 로그인, 성공, 
2024-10-20T08:36:50.490Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T08:38:29.316Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-20T08:41:07.735Z - User: nami, Action: 로그인, 실패, 모바일 미로그인
2024-10-20T08:41:16.020Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-20T08:41:18.222Z - User: nami, Action: 로그인, 성공, 
2024-10-20T08:41:24.670Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T08:46:39.477Z - User: nami, Action: 로그인, 실패, 잘못된 ID 또는 비밀번호
2024-10-20T08:46:42.092Z - User: nami, Action: 로그인, 성공, 
2024-10-20T08:47:03.545Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-20T08:47:10.339Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T08:47:28.209Z - User: nami, Action: 로그인, 성공, 
2024-10-20T08:47:34.693Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T08:55:02.590Z - User: nami, Action: 로그인, 성공, 
2024-10-20T08:55:07.713Z - User: nami, Action: OTP 재발급, 성공, 
2024-10-20T08:55:17.182Z - User: nami, Action: OTP 재발급, 성공, 
2024-10-20T08:55:22.145Z - User: nami, Action: OTP 재발급, 성공, 
2024-10-20T08:58:05.208Z - User: nami, Action: 로그인, 성공, 
2024-10-20T08:59:48.387Z - User: nami, Action: 로그인, 성공, 
2024-10-20T08:59:54.964Z - User: nami, Action: OTP 재발급, 성공, 
2024-10-20T09:01:05.156Z - User: nami, Action: 로그인, 성공, 
2024-10-20T09:07:31.631Z - User: nami, Action: 로그인, 성공, 
2024-10-20T09:07:41.180Z - User: nami, Action: OTP 재발급, 성공, 
2024-10-20T09:10:27.744Z - User: nami, Action: 로그인, 성공, 
2024-10-20T09:11:29.456Z - User: nami, Action: 로그인, 성공, 
2024-10-20T09:16:02.848Z - User: nami, Action: 로그인, 성공, 
2024-10-20T09:16:08.239Z - User: nami, Action: OTP 재발급, 성공, 
2024-10-20T09:17:36.579Z - User: nami, Action: OTP 재발급, 성공, 
2024-10-20T09:20:19.404Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-20T09:20:25.927Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-20T09:20:32.846Z - User: nami, Action: 로그인, 성공, 
